anio,mes,fecha,tramo,A,M,B2,B3,B4,C2,C3,C4,C5,C6,C7,C8,C9,total,AT,BT,CT,AT1
2023,2,2023-02-01,Puente de Ixtla-Iguala,90091.0,1233.0,4729.0,477.0,1.0,6782.0,9133.0,1551.0,4317.0,3677.0,35.0,6.0,1104.0,123136.0,91324.0,5207.0,26605.0,123136.0
2023,2,2023-02-01,La Pera-Cuautla,826415.0,21949.0,21627.0,1038.0,8.0,22654.0,12240.0,1784.0,17236.0,3462.0,347.0,23.0,5542.0,934325.0,848364.0,22673.0,63288.0,934325.0
2023,2,2023-02-01,Zacapalco-Rancho Viejo,49219.0,2510.0,1894.0,125.0,,1375.0,443.0,151.0,109.0,94.0,2.0,,1.0,55923.0,51729.0,2019.0,2175.0,55923.0
2023,2,2023-02-01,Mexico-Queretaro,2329110.0,40783.0,87534.0,33132.0,33.0,215467.0,169391.0,23287.0,543474.0,51204.0,7296.0,2293.0,123573.0,3626577.0,2369893.0,120699.0,1135985.0,3626577.0
2023,2,2023-02-01,Mexico-Puebla,3239067.0,46010.0,115520.0,23486.0,224.0,160324.0,121527.0,9391.0,233040.0,26676.0,3129.0,1320.0,82880.0,4062594.0,3285077.0,139230.0,638287.0,4062594.0
2023,2,2023-02-01,Queretaro-Irapuato,1520932.0,18029.0,44107.0,18937.0,393.0,129446.0,121996.0,14893.0,345314.0,46242.0,7351.0,1455.0,99837.0,2368932.0,1538961.0,63437.0,766534.0,2368932.0
2023,2,2023-02-01,Puebla-Acatzingo,938677.0,8613.0,51849.0,8193.0,121.0,63318.0,61618.0,5783.0,112252.0,18622.0,2238.0,695.0,62833.0,1334812.0,947290.0,60163.0,327359.0,1334812.0
2023,2,2023-02-01,Acatzingo-Cd Mendoza,225354.0,2151.0,12334.0,4918.0,12.0,25734.0,36817.0,3321.0,83365.0,12403.0,1954.0,748.0,53254.0,462365.0,227505.0,17264.0,217596.0,462365.0
2023,2,2023-02-01,Cd Mendoza-Cordoba,632072.0,26271.0,33668.0,5695.0,,43528.0,52737.0,6360.0,93164.0,16528.0,2434.0,2377.0,60300.0,975134.0,658343.0,39363.0,277428.0,975134.0
2023,2,2023-02-01,Tehuacan-Oaxaca,582237.0,8389.0,30182.0,8124.0,38.0,43122.0,47458.0,3445.0,45502.0,10624.0,1756.0,1181.0,26543.0,808601.0,590626.0,38344.0,179631.0,808601.0
2023,2,2023-02-01,Tijuana-Ensenada,1304033.0,9732.0,14202.0,1250.0,69.0,23488.0,10078.0,1739.0,53454.0,3174.0,231.0,312.0,11632.0,1433394.0,1313765.0,15521.0,104108.0,1433394.0
2023,2,2023-02-01,Rancho Viejo-Taxco,81566.0,6993.0,2556.0,142.0,,2120.0,472.0,56.0,151.0,120.0,,,1.0,94177.0,88559.0,2698.0,2920.0,94177.0
2023,2,2023-02-01,La Rumorosa-Tecate,185442.0,519.0,6441.0,1935.0,13.0,8436.0,3886.0,1619.0,31709.0,1954.0,480.0,173.0,10753.0,253360.0,185961.0,8389.0,59010.0,253360.0
2023,2,2023-02-01,Salina Cruz-La Ventosa,82892.0,2664.0,895.0,424.0,,6960.0,4593.0,522.0,5388.0,2965.0,177.0,119.0,7161.0,114760.0,85556.0,1319.0,27885.0,114760.0
2023,2,2023-02-01,Chamapa-Lecheria,2856917.0,121836.0,22089.0,601.0,1.0,108543.0,54034.0,3830.0,58252.0,5518.0,175.0,22.0,7514.0,3239332.0,2978753.0,22691.0,237888.0,3239332.0
2023,2,2023-02-01,Estacion Don-Nogales,743158.0,3557.0,37179.0,25114.0,8.0,40485.0,28976.0,20139.0,292503.0,33662.0,4282.0,674.0,127498.0,1357235.0,746715.0,62301.0,548219.0,1357235.0
2023,2,2023-02-01,Durango-Mazatlan,187684.0,2463.0,8105.0,3786.0,3.0,10374.0,16323.0,2174.0,56388.0,6472.0,1994.0,834.0,40380.0,336980.0,190147.0,11894.0,134939.0,336980.0
2023,2,2023-02-01,Lagos de Moreno-San Luis Potosi,57998.0,579.0,1939.0,338.0,1.0,6500.0,6133.0,1688.0,49232.0,6148.0,1266.0,313.0,21559.0,153694.0,58577.0,2278.0,92839.0,153694.0
2023,2,2023-02-01,Libramiento Amecameca-Nepantla,234869.0,5053.0,1999.0,191.0,2.0,11693.0,11240.0,1752.0,14564.0,3018.0,126.0,28.0,4289.0,288824.0,239922.0,2192.0,46710.0,288824.0
2023,2,2023-02-01,Aeropuerto Los Cabos-San Jose del Cabo-Cabo San Lucas,316768.0,637.0,1632.0,202.0,3.0,2516.0,975.0,102.0,1226.0,739.0,54.0,14.0,1003.0,325871.0,317405.0,1837.0,6629.0,325871.0
2023,2,2023-02-01,Libramiento Poniente de Acapulco,43357.0,1154.0,267.0,192.0,,1567.0,2008.0,339.0,913.0,683.0,8.0,3.0,121.0,50612.0,44511.0,459.0,5642.0,50612.0
